TOP.6441c041.000d66c4	folder_config->session_dir	/root/.local/share/hashcat/sessions
TOP.6441c041.000d66c4	folder_config->shared_dir	/usr/share/hashcat
TOP.6441c041.000d66c4	user_options->encoding_from	utf-8
TOP.6441c041.000d66c4	user_options->encoding_to	utf-8
TOP.6441c041.000d66c4	user_options->rp_files[0]	./buny/d3adhob0.rule
TOP.6441c041.000d66c4	user_options->rule_buf_l	:
TOP.6441c041.000d66c4	user_options->rule_buf_r	:
TOP.6441c041.000d66c4	user_options->session	hashcat
TOP.6441c041.000d66c4	user_options->separator	:
TOP.6441c041.000d66c4	user_options->limit	0
TOP.6441c041.000d66c4	user_options->skip	0
TOP.6441c041.000d66c4	user_options->attack_mode	0
TOP.6441c041.000d66c4	user_options->benchmark	0
TOP.6441c041.000d66c4	user_options->benchmark_all	0
TOP.6441c041.000d66c4	user_options->bitmap_max	18
TOP.6441c041.000d66c4	user_options->bitmap_min	16
TOP.6441c041.000d66c4	user_options->debug_mode	0
TOP.6441c041.000d66c4	user_options->hash_info	0
TOP.6441c041.000d66c4	user_options->force	0
TOP.6441c041.000d66c4	user_options->hwmon_disable	0
TOP.6441c041.000d66c4	user_options->hwmon_temp_abort	90
TOP.6441c041.000d66c4	user_options->hash_mode	11300
TOP.6441c041.000d66c4	user_options->hex_charset	0
TOP.6441c041.000d66c4	user_options->hex_salt	0
TOP.6441c041.000d66c4	user_options->hex_wordlist	0
TOP.6441c041.000d66c4	user_options->hook_threads	32
TOP.6441c041.000d66c4	user_options->identify	0
TOP.6441c041.000d66c4	user_options->increment	0
TOP.6441c041.000d66c4	user_options->increment_max	256
TOP.6441c041.000d66c4	user_options->increment_min	1
TOP.6441c041.000d66c4	user_options->keep_guessing	0
TOP.6441c041.000d66c4	user_options->kernel_accel	0
TOP.6441c041.000d66c4	user_options->kernel_loops	0
TOP.6441c041.000d66c4	user_options->kernel_threads	0
TOP.6441c041.000d66c4	user_options->keyspace	0
TOP.6441c041.000d66c4	user_options->left	0
TOP.6441c041.000d66c4	user_options->logfile_disable	0
TOP.6441c041.000d66c4	user_options->loopback	0
TOP.6441c041.000d66c4	user_options->machine_readable	0
TOP.6441c041.000d66c4	user_options->markov_classic	0
TOP.6441c041.000d66c4	user_options->markov_disable	0
TOP.6441c041.000d66c4	user_options->markov_inverse	0
TOP.6441c041.000d66c4	user_options->markov_threshold	256
TOP.6441c041.000d66c4	user_options->multiply_accel_disable	0
TOP.6441c041.000d66c4	user_options->backend_info	0
